0,0,3,17.25,4,17,6,2,863,26,-3.13,3.13,96,29.8
0,0,3,17.25,3,16,18,12,852,57,-3.13,-0.78,99,80
0,0,3,24.71,8,15,43,28,1785,24,-6.25,-1.56,102,67.84
0,0,3,34.12,17,14,16,10,830,26,-7.81,0.78,102,85.49
0,0,3,57.25,32,14,30,63,1893,44,0,-3.13,108,21.96
0,0,3,24.71,3,14,29,28,2306,21,-1.56,1.56,105,27.06
0,0,3,17.25,2,15,44,18,1589,55,0,-0.78,104,27.45
0,0,3,65.1,32,14,-2,83,2022,96,3.13,-1.56,113,77.25
0,0,3,30.2,13,13,35,94,2229,78,1.56,-4.69,114,76.47
0,0,3,34.51,26,13,36,97,2262,81,1.56,4.69,115,86.67
0,0,3,40,25,13,23,102,2430,90,3.13,-1.56,116,86.27
0,0,3,46.27,35,13,17,101,2345,90,3.13,-2.34,118,85.1
0,0,3,40,23,12,28,107,2499,88,3.13,-2.34,117,67.06
0,0,3,38.04,30,12,30,100,2319,88,3.13,0.78,116,85.1
0,0,3,33.33,22,12,35,98,2284,95,3.13,0,116,76.86
0,0,3,35.29,16,12,41,85,1529,24,-6.25,3.13,113,18.43
0,0,3,17.25,2,13,18,0,786,60,0,-1.56,108,87.45
0,0,3,41.18,3,13,18,33,937,26,-7.81,1.56,108,20.39
0,0,3,38.04,28,14,28,37,1011,23,-9.38,-1.56,108,23.92
0,0,3,25.1,10,14,13,66,2248,99,3.13,-1.56,113,98.43
0,0,3,33.33,20,13,40,101,2379,71,3.13,-1.56,115,77.25
0,0,3,44.71,34,13,17,103,2412,93,3.13,-1.56,117,89.41
0,0,3,58.43,34,13,29,107,2472,86,3.13,-1.56,119,86.27
0,0,3,38.43,26,13,31,105,2495,81,3.13,-2.34,117,75.29
0,0,3,33.33,21,13,39,106,2472,86,3.13,-2.34,115,93.73
0,0,3,34.9,22,13,40,101,2348,58,0,0.78,116,82.35
0,0,3,34.12,18,13,23,94,2204,81,3.13,1.56,116,82.35
0,0,3,34.12,28,13,16,83,866,26,-7.81,0,112,24.31
0,0,3,17.25,2,14,18,0,1888,71,0,-0.78,108,100
0,0,3,38.82,6,13,21,34,741,93,3.13,-0.78,110,97.25
0,0,3,30.2,16,13,16,62,866,27,-7.81,0,110,84.31
0,0,3,17.25,11,13,31,31,1617,41,-3.13,-0.78,109,16.08
0,0,3,30.2,15,14,17,12,964,20,-9.38,,,
